#,Rollout,Sub,Country,Store Type,Store Name,Commerce Platform / (Hybris Y/N),Go-live (App Store release) / AOS,Go-live (App Store release) / iOS,Remark
58,SETK,SETK,Türkiye,B2C,tr,Y,2024. 6. 4,2024. 6. 5 ,Subtitle added due to the existing app of the same title. (TR local app)
58,SETK,SETK,Türkiye,B2C,tr,Y,2024. 6. 4,2024. 6. 5 ,iOS  App name: Samsung Shop: Resmi Uygulama
59,SETK,SETK,Türkiye,Student EPP,tr_egitim,Y,2024. 6. 4,2024. 6. 5 ,Approved by App Store with MX Contents/Category enabled on June 5th 
60,GRO4,SEAS-AT,Austria,B2C,at,Y,2024. 6. 22,2024. 7. 2 ,AOS:
61,GRO4,SEAS-AT,Austria,Student EPP,at_education,Y,2024. 6. 22,2024. 7. 2 ,Submisssion: 6/22 12:30 AM KST → Approved around 6/22 1AM KST
62,GRO4,SECZ-CZ,Czech Republic,B2C,cz,Y,2024. 6. 22,2024. 7. 2 ,iOS:
63,GRO4,SEPCO,Philippines,B2C,ph,Y,2024. 6. 22,2024. 7. 2 ,Submission: 6/22 12:30AM KST → Rejected around 6/22 9PM KST
64,GRO4,SEPCO,Philippines,Student EPP,edu_uno,Y,2024. 6. 22,2024. 7. 2 ,
65,GRO4,SENZ,New Zealand,B2C,nz,Y,2024. 6. 22,2024. 7. 2 ,
66,GRO4,SENZ,New Zealand,Student EPP,samsung_edu,Y,2024. 6. 22,2024. 7. 2 ,
67,GRO5,SSA,South Africa,B2C,za,Y,2024. 10. 7 ,2024. 10. 7 ,AOS: 
68,GRO5,SSA,South Africa,Student EPP,ssa_student,Y,2024. 10. 7 ,2024. 10. 7 ,Submisssion: 10/7 8:00 PM KST → Approved around 10/8 12AM KST
69,GRO5,SEROM-RO,Romania,B2C,ro,Y,2024. 10. 7 ,2024. 10. 7 ,100% released around 10/8 2PM KST
70,GRO5,SEH,Hungary,B2C,hu,Y,2024. 10. 7 ,2024. 10. 7 ,iOS:
71,GRO5,SEHK,Hong Kong,B2C,hk / hk_en,Y,2024. 10. 7 ,2024. 10. 7 ,Submisssion: 10/7 8:00 PM KST → Approved around 10/8 5AM KST
72,GRO5,SEHK,Hong Kong,Student EPP,hkeducation,Y,2024. 10. 7 ,2024. 10. 7 ,100% released around 10/8 2PM KST
73,GRO6,SEJ,Japan,B2C,jp,Y,TBD,TBD,"Initial plan was to release in June 2025, but it has been put on hold"
74,GRO6,SEJ,Japan,EPP,jpeducationepp,Y,TBD,TBD,"Initial plan was to release in June 2025, but it has been put on hold"
75,GRO6,SEBN-BE,Belgium,B2C,be / be_fr,Y,TBD,TBD,"Initial plan was to release in June 2025, but it has been put on hold"
76,GRO6,SEIB-PT,Portugal,B2C,pt,Y,TBD,TBD,"Initial plan was to release in June 2025, but it has been put on hold"
77,GRO6,SEIB-PT,Portugal,EPP,pteducacaoepp,Y,TBD,TBD,"Initial plan was to release in June 2025, but it has been put on hold"
78,GRO6,SEAS-CH,Switzerland,B2C,ch / ch_fr,Y,TBD,TBD,"Initial plan was to release in June 2025, but it has been put on hold"
79,GRO6,SEAS-CH,Switzerland,EPP,samsung_switzerland_epp_iamstudent,Y,TBD,TBD,"Initial plan was to release in June 2025, but it has been put on hold"
